frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
277,2.300833,1,0.2551,2981.75,1582.03,3101.29,1634.03,54.49,135.60,ok,11
278,2.309167,1,0.5657,2982.32,1582.07,3101.97,1634.31,55.46,135.75,ok,11
279,2.317500,1,0.5028,2982.80,1582.13,3102.45,1634.85,55.78,135.88,ok,11
280,2.325833,1,0.6112,2982.48,1582.12,3101.85,1635.40,55.96,135.74,ok,14
281,2.334167,1,0.7053,2982.61,1582.32,3101.59,1635.99,56.51,135.50,ok,12
282,2.342500,1,0.6890,2982.14,1582.04,3100.80,1636.06,55.56,135.29,ok,12
283,2.350833,1,0.7318,2982.18,1582.09,3100.45,1636.37,56.04,135.00,ok,13
284,2.359167,1,0.7192,2981.91,1581.58,3099.55,1636.04,56.00,134.47,ok,11
285,2.367500,1,0.7489,2981.78,1581.37,3098.66,1635.86,55.85,133.73,ok,10
286,2.375833,1,0.7183,2981.89,1581.78,3097.71,1636.05,55.96,132.65,ok,9
287,2.384167,1,0.4394,2980.83,1582.15,3095.71,1636.05,55.38,131.65,ok,9
288,2.392500,1,0.3826,2981.08,1582.66,3095.26,1636.20,55.25,130.87,ok,10
289,2.400833,1,0.4415,2980.70,1582.49,3094.54,1635.71,54.81,130.47,ok,10
290,2.409167,1,0.4406,2980.18,1582.78,3094.22,1635.66,54.28,130.47,ok,9
291,2.417500,1,0.5231,2980.48,1582.55,3095.10,1635.50,54.59,131.04,ok,9
292,2.425833,1,0.5464,2980.94,1582.36,3096.35,1635.42,54.93,131.77,ok,10
293,2.434583,1,0.6510,2981.68,1582.35,3098.12,1635.52,55.68,132.80,ok,12
294,2.442917,1,0.5484,2981.42,1581.85,3098.80,1635.40,55.83,133.77,ok,11
295,2.451250,1,0.6576,2981.32,1581.87,3099.54,1635.67,55.82,134.61,ok,11
